,Iq_RMS,Id_RMS,Is_RMS,Iq_Pk,Id_Pk,Is_Pk,currentAngle,psiM_RMS,psiD_RMS,psiQ_RMS,psiM_Pk,psiD_Pk,psiQ_Pk,Lq,Ld,Torque(Nm),TopSpeed
739,250.0,-200.0,320.2,353.5533905932738,-282.842712474619,452.83118267186507,-38.7,0.039766429016300675,0.021275386803741424,0.061601144456769584,0.0562382232419994,0.030087940562584698,0.08711717394846775,0.0002464045778270783,9.245521106279625e-05,-211.96932240299518,5982.312202453613
740,250.0,-210.0,326.5,353.5533905932738,-296.98484809834997,461.74072811481557,-40.0,0.03976642848540957,0.020295295762223234,0.06168444998548117,0.056238222491206,0.028701882519309302,0.08723498575699234,0.0002467377999419247,9.271967963422066e-05,-216.2830348388546,6003.888511657715
741,250.0,-220.0,333.0,353.5533905932738,-311.1269837220809,470.9331162702407,-41.3,0.03976642909820549,0.019312490892344734,0.06175654379182114,0.0562382233578303,0.0273119865431608,0.08733694179568142,0.00024702617516728456,9.297244639027613e-05,-220.54824877741413,6025.37956237793
742,250.0,-230.0,339.7,353.5533905932738,-325.2691193458119,480.4083471381404,-42.6,0.03976642914167474,0.01832766317885554,0.06181772268031136,0.0562382234193051,0.025919229834143496,0.08742346180951521,0.00024727089072124547,9.321202592530087e-05,-224.76117415221822,6046.725940704346
743,250.0,-240.0,346.6,353.5533905932738,-339.4112549695428,490.1664207185148,-43.8,0.03976642897350319,0.017341786737820056,0.061868758010375356,0.05623822318147461,0.024524990000406997,0.0874956366654519,0.00024747503204150144,9.343600931534638e-05,-228.91746773179585,6067.818927764893
744,250.0,-250.0,353.6,353.5533905932738,-353.5533905932738,500.0659156551265,-45.0,0.039766429656531425,0.016355494576205137,0.06191032260342036,0.056238224147422404,0.0231301622489889,0.08755441787665066,0.00024764129041368143,9.364374032130514e-05,-233.01405827696743,6088.56782913208
745,250.0,-260.0,360.7,353.5533905932738,-367.6955262170047,510.1068319479754,-46.1,0.039766429915915655,0.01536899125188626,0.06194275852311751,0.0562382245142471,0.021735035868411003,0.08760028919419441,0.00024777103409247004,9.383630255395921e-05,-237.0484037441048,6108.922481536865
746,250.0,-270.0,368.0,353.5533905932738,-381.8376618407357,520.430590953299,-47.2,0.03976642995465754,0.01438245571352382,0.06196637076799528,0.0562382245690364,0.0203398639302958,0.08763368195113863,0.0002478654830719811,9.401471941160638e-05,-241.01839667178214,6128.835773468018
747,250.0,-280.0,375.4,353.5533905932738,-395.9797974644666,530.8957713148599,-48.2,0.039766429766931226,0.01339609035662768,0.06198146102930853,0.0562382243035513,0.0189449326651183,0.08765502280334758,0.00024792584411723414,9.417978360822695e-05,-244.92210354807258,6148.260307312012
748,250.0,-290.0,382.9,353.5533905932738,-410.1219330881976,541.502373032658,-49.2,0.03976642973324324,0.012410145236079298,0.06198840397926363,0.0562382242559093,0.0175505957038832,0.08766484161733697,0.00024795361591705453,9.433201550746187e-05,-248.75772092289088,6167.140197753906
749,250.0,-300.0,390.5,353.5533905932738,-424.26406871192853,552.2503961066936,-50.2,0.03976642958672768,0.011424838775383592,0.06198763915937459,0.056238224048705,0.0161571619440735,0.08766375999867711,0.00024795055663749834,9.447196937114695e-05,-252.52345627677525,6185.414028167725
750,260.0,-10.0,260.2,367.6955262170047,-14.142135623730951,367.97836892947936,-2.2,0.03945224933842768,0.038604731110622216,0.05883571313651815,0.0557939060805294,0.054595334308408495,0.08320626346955684,0.00022629120437122366,8.475182278054674e-05,-130.97573178503853,5540.3717041015625
751,260.0,-20.0,260.8,367.6955262170047,-28.284271247461902,368.82689706690326,-4.4,0.039452247433397945,0.037751327788496596,0.05912693288192782,0.05579390338641051,0.05338843975608419,0.08361811038314604,0.00022741128031510702,8.504598224506749e-05,-135.4748452104591,5557.687664031982
752,260.0,-30.0,261.7,367.6955262170047,-42.42640687119285,370.09968927303896,-6.6,0.039452248990016654,0.03689162874534484,0.05940801690165721,0.0557939055878018,0.0521726417096998,0.08401562321601369,0.00022849237269868158,8.535400815572722e-05,-139.9912005710531,5575.191402435303
753,260.0,-40.0,263.1,367.6955262170047,-56.568542494923804,372.0795882603614,-8.7,0.03945225036318797,0.0360250760667511,0.05967887451651432,0.05579390752975929,0.0509471511591218,0.08439867372841664,0.0002295341327558243,8.567935741092165e-05,-144.5242013539562,5592.906761169434
754,260.0,-50.0,264.8,367.6955262170047,-70.71067811865476,374.4837513163956,-10.9,0.03945224894693844,0.03515114150877312,0.05993943735925445,0.05579390552688,0.04971122105460281,0.08476716523447023,0.00023053629753559405,8.602214876330644e-05,-149.0732524913099,5610.852813720703
755,260.0,-60.0,266.8,367.6955262170047,-84.8528137423857,377.3121784411418,-13.0,0.03945224756692324,0.03426930129292247,0.060189568511478116,0.05579390357524379,0.0484641106615008,0.08512090410231694,0.000231498340428762,8.638243790001277e-05,-153.63757195398247,5629.05158996582
756,260.0,-70.0,269.3,367.6955262170047,-98.99494936611666,380.84771234707455,-15.1,0.039452249926750775,0.03337911977771241,0.060429083433785925,0.0557939069125439,0.0472052038897169,0.08545962935383539,0.0002324195516684074,8.675900212911955e-05,-158.21576029241737,5647.523212432861
757,260.0,-80.0,272.0,367.6955262170047,-113.13708498984761,384.6660889654819,-17.1,0.03945224965400929,0.03248035325676988,0.06065788860849125,0.055793906526829196,0.04593415608639309,0.0857832087350448,0.0002332995715711202,8.714870496549265e-05,-162.80571047449445,5666.272258758545
758,260.0,-90.0,275.1,367.6955262170047,-127.27922061357856,389.0501510088385,-19.1,0.03945224938185825,0.03157325490138467,0.06087601607416433,0.05579390614194949,0.044651325289801,0.08609168755532574,0.00023413852336217055,8.754438311637307e-05,-167.40299296262214,5685.273361206055
759,260.0,-100.0,278.6,367.6955262170047,-141.4213562373095,393.9998984771443,-21.0,0.03945224950636519,0.030658506604595032,0.06108352718433157,0.0557939063180289,0.043357675842323404,0.08638515258166735,0.00023493664301665987,8.793742901770155e-05,-172.00067079755104,5704.482364654541
760,260.0,-110.0,282.3,367.6955262170047,-155.56349186104046,399.23248865792476,-22.9,0.0394522490644692,0.029736679441612925,0.0612803849668346,0.0557939056930936,0.042054015366270195,0.08666355152754182,0.0002356937883339792,8.832336020778434e-05,-176.5940317893218,5723.867225646973
761,260.0,-120.0,286.4,367.6955262170047,-169.7056274847714,405.0307642636544,-24.8,0.0394522489021913,0.028808100671771412,0.06146658609050004,0.055793905463598,0.040740806676228605,0.0869268796819586,0.00023640994650192323,8.870123525349908e-05,-181.18299399810982,5743.402576446533
762,260.0,-130.0,290.7,367.6955262170047,-183.84776310850236,411.11188258185877,-26.6,0.039452249656285195,0.027873251205866548,0.06164240922854622,0.0557939065300478,0.0394187298827687,0.0871755311483625,0.0002370861893405624,8.906921884937421e-05,-185.76810716415633,5763.035583496094
763,260.0,-140.0,295.3,367.6955262170047,-197.9898987322333,417.61726496877503,-28.3,0.039452249795661525,0.026932829226334203,0.061808329931366326,0.0557939067271557,0.038088772364960305,0.08741017845656918,0.00023772434588987049,8.942443263805231e-05,-190.34865558245053,5782.6897621154785
764,260.0,-150.0,300.2,367.6955262170047,-212.13203435596427,424.54691142440316,-30.0,0.039452249402631985,0.025987605769645313,0.06196476443770682,0.055793906171328,0.0367520245330377,0.08763141025705905,0.00023832601706810316,8.976429088657784e-05,-194.92089595813215,5802.290439605713
765,260.0,-160.0,305.3,367.6955262170047,-226.27416997969522,431.759400592506,-31.6,0.039452249402771644,0.025038291602275296,0.06211195165416405,0.0557939061715255,0.0354094915625901,0.0878395644147808,0.00023889212174678484,9.008723625310217e-05,-199.47845172671134,5821.778678894043
